Name	Author Type	Article Type	pmid	Journal	Year	Article title	Author affiliation
Levon Yepiskoposyan	15	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Laboratory of Ethnogenomics; Institute of Molecular Biology; National Academy of Sciences of Armenia; Yerevan 0014; Armenia.
M Syafiq Abdullah	16	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Raja Isteri Pengiran Anak Saleha (RIPAS) Hospital; Bandar Seri Begawan; Brunei Darussalam.
Claudio M Bravi	17	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Laboratorio de GenÃ©tica Molecular Poblacional; Instituto Multidisciplinario de BiologÃ­a Celular (IMBICE); Centro CientÃ­fico y TecnolÃ³gico-Consejo Nacional de Investigaciones CientÃ­ficas y TÃ©cnicas (CCT-CONICET) and ComisiÃ³n de Investigaciones CientÃ­ficas de la Provincia de Buenos Aires (CICPBA); La Plata B1906APO; Argentina.
Cristian Capelli	18	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Department of Zoology; University of Oxford; Oxford OX1 3PS; UK.
Tor Hervig	19	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Department of Clinical Science; University of Bergen; Bergen 5021; Norway.
Joseph T S Wee	20	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	National Cancer Centre Singapore; Singapore.
Chris Tyler-Smith	21	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Wellcome Trust Sanger Institute; Wellcome Trust Genome Campus; Hinxton; Cambridgeshire CB10 1SA; UK.
George van Driem	22	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Institute of Linguistics; University of Bern; Bern CH-3012; Switzerland.
Irene Gallego Romero	23	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Department of Human Genetics; University of Chicago; Chicago; IL 60637; USA.
Aashish R Jha	24	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Department of Human Genetics; University of Chicago; Chicago; IL 60637; USA.
Sena Karachanak-Yankova	25	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Department of Medical Genetics; National Human Genome Center; Medical University Sofia; Sofia 1431; Bulgaria.
Draga Toncheva	26	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Department of Medical Genetics; National Human Genome Center; Medical University Sofia; Sofia 1431; Bulgaria.
David Comas	27	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Institut de Biologia Evolutiva [Consejo Superior de Investigaciones CientÃ­ficas-Universitat Pompeu Fabra (CSIC-UPF)]; Departament de CiÃ¨ncies Experimentals i de la Salut; UPF; Barcelona 08003; Spain.
Brenna Henn	28	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Department of Ecology and Evolution; Stony Brook University; Stony Brook; NY 11794; USA.
Toomas Kivisild	29	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Division of Biological Anthropology; University of Cambridge; Fitzwilliam Street; Cambridge CB2 1QH; UK.
Andres Ruiz-Linares	30	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Department of Genetics; Evolution and Environment; University College London; WC1E 6BT; UK.
Antti Sajantila	31	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	University of Helsinki; Department of Forensic Medicine; Helsinki 00014; Finland.
Ene Metspalu	32	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Estonian Biocentre; Evolutionary Biology Group; Tartu 51010; Estonia. University of Tartu; Department of Evolutionary Biology; Tartu 5101; Estonia.
JÃ¼ri Parik	33	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Estonian Biocentre; Evolutionary Biology Group; Tartu 51010; Estonia.
Richard Villems	34	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Estonian Biocentre; Evolutionary Biology Group; Tartu 51010; Estonia.
Elena B Starikovskaya	35	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Laboratory of Human Molecular Genetics; Institute of Molecular and Cellular Biology; Siberian Branch of Russian Academy of Sciences; Novosibirsk 630090; Russia.
George Ayodo	36	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Center for Global Health and Child Development; Kisumu 40100; Kenya.
Cynthia M Beall	37	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Department of Anthropology; Case Western Reserve University; Cleveland; OH 44106-7125; USA.
Anna Di Rienzo	38	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Department of Human Genetics; University of Chicago; Chicago; IL 60637; USA.
Michael F Hammer	39	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Arizona Research Laboratories Division of Biotechnology; University of Arizona; Tucson; AZ 85721; USA.
Rita Khusainova	40	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Institute of Biochemistry and Genetics; Ufa Research Centre; Russian Academy of Sciences; Ufa 450054; Russia. Department of Genetics and Fundamental Medicine; Bashkir State University; Ufa 450074; Russia.
Elza Khusnutdinova	41	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Institute of Biochemistry and Genetics; Ufa Research Centre; Russian Academy of Sciences; Ufa 450054; Russia. Department of Genetics and Fundamental Medicine; Bashkir State University; Ufa 450074; Russia.
William Klitz	42	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Integrative Biology; University of California; Berkeley; CA 94720-3140; USA.
Cheryl Winkler	43	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Basic Research Laboratory; Center for Cancer Research; National Cancer Institute; Leidos Biomedical Research; Incorporated; Frederick National Laboratory; Frederick; MD 21702; USA.
Damian Labuda	44	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Centre Hospitalier Universitaire (CHU) Sainte-Justine; DÃ©partement de PÃ©diatrie; UniversitÃ© de MontrÃ©al; QC H3T 1C5; Canada.
Mait Metspalu	45	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Estonian Biocentre; Evolutionary Biology Group; Tartu 51010; Estonia.
Sarah A Tishkoff	46	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Departments of Biology and Genetics; University of Pennsylvania; Philadelphia; PA 19104; USA.
Stanislav Dryomov	47	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Laboratory of Human Molecular Genetics; Institute of Molecular and Cellular Biology; Siberian Branch of Russian Academy of Sciences; Novosibirsk 630090; Russia. Department of Paleolithic Archaeology; Institute of Archaeology and Ethnography; Siberian Branch of Russian Academy of Sciences; Novosibirsk 630090; Russia.
Rem Sukernik	48	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Laboratory of Human Molecular Genetics; Institute of Molecular and Cellular Biology; Siberian Branch of Russian Academy of Sciences; Novosibirsk 630090; Russia. Altai State University; Barnaul 656000; Russia.
Nick Patterson	49	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Broad Institute of Massachusetts Institute of Technology (MIT) and Harvard; Cambridge; MA 02142; USA. Department of Genetics; Harvard Medical School; Boston; MA 02115; USA.
David Reich	50	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Broad Institute of Massachusetts Institute of Technology (MIT) and Harvard; Cambridge; MA 02142; USA. Department of Genetics; Harvard Medical School; Boston; MA 02115; USA. Howard Hughes Medical Institute; Harvard Medical School; Boston; MA 02115; USA.
Evan E Eichler	Corresponding	Journal Article	26249230	Science	2015	Global diversity, population stratification, and selection of human copy-number variation.	Department of Genome Sciences; University of Washington; Seattle; WA 98195; USA. Howard Hughes Medical Institute; University of Washington; Seattle; WA 98195; USA. eee@gs.washington.edu.
M Sigl	First	Journal Article	26153860	Nature	2015	Timing and climate forcing of volcanic eruptions for the past 2,500 years.	Desert Research Institute; Nevada System of Higher Education; Reno; Nevada 89512; USA.
M Winstrup	2	Journal Article	26153860	Nature	2015	Timing and climate forcing of volcanic eruptions for the past 2,500 years.	Department of Earth and Space Sciences; University of Washington; Seattle; Washington 98195; USA.
J R McConnell	3	Journal Article	26153860	Nature	2015	Timing and climate forcing of volcanic eruptions for the past 2,500 years.	Desert Research Institute; Nevada System of Higher Education; Reno; Nevada 89512; USA.
K C Welten	4	Journal Article	26153860	Nature	2015	Timing and climate forcing of volcanic eruptions for the past 2,500 years.	Space Sciences Laboratory; University of California; Berkeley; California 94720; USA.
G Plunkett	5	Journal Article	26153860	Nature	2015	Timing and climate forcing of volcanic eruptions for the past 2,500 years.	School of Geography; Archaeology and Palaeoecology; Queen's University Belfast; Belfast BT7 1NN; UK.
F Ludlow	6	Journal Article	26153860	Nature	2015	Timing and climate forcing of volcanic eruptions for the past 2,500 years.	Yale Climate and Energy Institute; and Department of History; Yale University; New Haven; Connecticut 06511; USA.
U BÃ¼ntgen	7	Journal Article	26153860	Nature	2015	Timing and climate forcing of volcanic eruptions for the past 2,500 years.	1] Swiss Federal Research Institute WSL; 8903 Birmensdorf; Switzerland [2] Oeschger Centre for Climate Change Research; University of Bern; 3012 Bern; Switzerland [3] Global Change Research Centre AS CR; 60300 Brno; Czech Republic.
M Caffee	8	Journal Article	26153860	Nature	2015	Timing and climate forcing of volcanic eruptions for the past 2,500 years.	1] Department of Physics; Purdue University; West Lafayette; Indiana 47907; USA [2] Department of Earth; Atmospheric; and Planetary Sciences; Purdue University; West Lafayette; Indiana 47907; USA.
N Chellman	9	Journal Article	26153860	Nature	2015	Timing and climate forcing of volcanic eruptions for the past 2,500 years.	Desert Research Institute; Nevada System of Higher Education; Reno; Nevada 89512; USA.
D Dahl-Jensen	10	Journal Article	26153860	Nature	2015	Timing and climate forcing of volcanic eruptions for the past 2,500 years.	Centre for Ice and Climate; Niels Bohr Institute; University of Copenhagen; 2100 Copenhagen; Denmark.
H Fischer	11	Journal Article	26153860	Nature	2015	Timing and climate forcing of volcanic eruptions for the past 2,500 years.	1] Oeschger Centre for Climate Change Research; University of Bern; 3012 Bern; Switzerland [2] Climate and Environmental Physics; University of Bern; 3012 Bern; Switzerland.
S Kipfstuhl	12	Journal Article	26153860	Nature	2015	Timing and climate forcing of volcanic eruptions for the past 2,500 years.	Alfred-Wegener-Institut Helmholtz-Zentrum fÃ¼r Polar- und Meeresforschung; 27570 Bremerhaven; Germany.
C Kostick	13	Journal Article	26153860	Nature	2015	Timing and climate forcing of volcanic eruptions for the past 2,500 years.	Department of History; The University of Nottingham; Nottingham NG7 2RD; UK.
O J Maselli	14	Journal Article	26153860	Nature	2015	Timing and climate forcing of volcanic eruptions for the past 2,500 years.	Desert Research Institute; Nevada System of Higher Education; Reno; Nevada 89512; USA.
F Mekhaldi	15	Journal Article	26153860	Nature	2015	Timing and climate forcing of volcanic eruptions for the past 2,500 years.	Department of Geology; Quaternary Sciences; Lund University; 22362 Lund; Sweden.
R Mulvaney	16	Journal Article	26153860	Nature	2015	Timing and climate forcing of volcanic eruptions for the past 2,500 years.	British Antarctic Survey; Natural Environment Research Council; Cambridge CB3 0ET; UK.
R Muscheler	17	Journal Article	26153860	Nature	2015	Timing and climate forcing of volcanic eruptions for the past 2,500 years.	Department of Geology; Quaternary Sciences; Lund University; 22362 Lund; Sweden.
D R Pasteris	18	Journal Article	26153860	Nature	2015	Timing and climate forcing of volcanic eruptions for the past 2,500 years.	Desert Research Institute; Nevada System of Higher Education; Reno; Nevada 89512; USA.
J R Pilcher	19	Journal Article	26153860	Nature	2015	Timing and climate forcing of volcanic eruptions for the past 2,500 years.	School of Geography; Archaeology and Palaeoecology; Queen's University Belfast; Belfast BT7 1NN; UK.
M Salzer	20	Journal Article	26153860	Nature	2015	Timing and climate forcing of volcanic eruptions for the past 2,500 years.	The Laboratory of Tree-Ring Research; University of Arizona; Tucson; Arizona 85721; USA.
S SchÃ¼pbach	21	Journal Article	26153860	Nature	2015	Timing and climate forcing of volcanic eruptions for the past 2,500 years.	1] Oeschger Centre for Climate Change Research; University of Bern; 3012 Bern; Switzerland [2] Climate and Environmental Physics; University of Bern; 3012 Bern; Switzerland.
J P Steffensen	22	Journal Article	26153860	Nature	2015	Timing and climate forcing of volcanic eruptions for the past 2,500 years.	Centre for Ice and Climate; Niels Bohr Institute; University of Copenhagen; 2100 Copenhagen; Denmark.
B M Vinther	23	Journal Article	26153860	Nature	2015	Timing and climate forcing of volcanic eruptions for the past 2,500 years.	Centre for Ice and Climate; Niels Bohr Institute; University of Copenhagen; 2100 Copenhagen; Denmark.
T E Woodruff	Corresponding	Journal Article	26153860	Nature	2015	Timing and climate forcing of volcanic eruptions for the past 2,500 years.	Department of Physics; Purdue University; West Lafayette; Indiana 47907; USA.
John M Grady	First	Journal Article	26023132	Science	2015	Response to Comments on "Evidence for mesothermy in dinosaurs".	Department of Biology; University of New Mexico; Albuquerque; NM 87131; USA. jgrady@unm.edu.
Brian J Enquist	2	Journal Article	26023132	Science	2015	Response to Comments on "Evidence for mesothermy in dinosaurs".	Department of Ecology and Evolutionary Biology; University of Arizona; Tucson; AZ 85721; USA. The Santa Fe Institute; USA; 1399 Hyde Park Road; Santa Fe; NM 87501; USA.
Eva Dettweiler-Robinson	3	Journal Article	26023132	Science	2015	Response to Comments on "Evidence for mesothermy in dinosaurs".	Department of Biology; University of New Mexico; Albuquerque; NM 87131; USA.
Natalie A Wright	4	Journal Article	26023132	Science	2015	Response to Comments on "Evidence for mesothermy in dinosaurs".	Department of Biology; University of New Mexico; Albuquerque; NM 87131; USA.
Felisa A Smith	Corresponding	Journal Article	26023132	Science	2015	Response to Comments on "Evidence for mesothermy in dinosaurs".	Department of Biology; University of New Mexico; Albuquerque; NM 87131; USA.
Joseph N Spitale	First	Journal Article	25951283	Nature	2015	Curtain eruptions from Enceladus' south-polar terrain.	Planetary Science Institute; 1700 East Fort Lowell Road; Suite 106; Tucson; Arizona 85719; USA.
Terry A Hurford	2	Journal Article	25951283	Nature	2015	Curtain eruptions from Enceladus' south-polar terrain.	NASA Goddard Space Flight Center; Greenbelt; Maryland 20771; USA.
Alyssa R Rhoden	3	Journal Article	25951283	Nature	2015	Curtain eruptions from Enceladus' south-polar terrain.	Johns Hopkins University Applied Physics Laboratory; 11100 Johns Hopkins Road; Laurel; Maryland 20723; USA.
Emily E Berkson	4	Journal Article	25951283	Nature	2015	Curtain eruptions from Enceladus' south-polar terrain.	Rochester Institute of Technology; One Lomb Memorial Drive; Rochester; New York 14623; USA.
Symeon S Platts	Corresponding	Journal Article	25951283	Nature	2015	Curtain eruptions from Enceladus' south-polar terrain.	Film and Television Department; University of Arizona; Tucson; Arizona 85721; USA.
Eric M Arndt	First	Journal Article	25931557	Science	2015	Biomechanics. Mechanistic origins of bombardier beetle (Brachinini) explosion-induced defensive spray pulsation.	Department of Materials Science and Engineering; Massachusetts Institute of Technology (MIT); Cambridge; MA 02139-4307; USA.
Wendy Moore	2	Journal Article	25931557	Science	2015	Biomechanics. Mechanistic origins of bombardier beetle (Brachinini) explosion-induced defensive spray pulsation.	Department of Entomology; The University of Arizona; Tucson; AZ 85721-0036; USA.
Wah-Keat Lee	3	Journal Article	25931557	Science	2015	Biomechanics. Mechanistic origins of bombardier beetle (Brachinini) explosion-induced defensive spray pulsation.	National Synchrotron Light Source II; Brookhaven National Laboratory; Upton; NY 11973-5000; USA.
Christine Ortiz	Corresponding	Journal Article	25931557	Science	2015	Biomechanics. Mechanistic origins of bombardier beetle (Brachinini) explosion-induced defensive spray pulsation.	Department of Materials Science and Engineering; Massachusetts Institute of Technology (MIT); Cambridge; MA 02139-4307; USA. cortiz@mit.edu.
W F Bottke	First	Journal Article	25883354	Science	2015	Lunar formation. Dating the Moon-forming impact event with asteroidal meteorites.	Southwest Research Institute and NASA Solar System Exploration Research Virtual Institute (SSERVI)-Institute for the Science of Exploration Targets (ISET); Boulder; CO; USA. bottke@boulder.swri.edu.
D VokrouhlickÃ½	2	Journal Article	25883354	Science	2015	Lunar formation. Dating the Moon-forming impact event with asteroidal meteorites.	Institute of Astronomy; Charles University; V HoleÅ¡oviÄkÃ¡ch 2; CZ-18000; Prague 8; Czech Republic.
S Marchi	3	Journal Article	25883354	Science	2015	Lunar formation. Dating the Moon-forming impact event with asteroidal meteorites.	Southwest Research Institute and NASA Solar System Exploration Research Virtual Institute (SSERVI)-Institute for the Science of Exploration Targets (ISET); Boulder; CO; USA.
T Swindle	4	Journal Article	25883354	Science	2015	Lunar formation. Dating the Moon-forming impact event with asteroidal meteorites.	Lunar and Planetary Laboratory; University of Arizona; Tucson; AZ; USA. SSERVI Center for Lunar Science Exploration; Houston; TX; USA.
E R D Scott	5	Journal Article	25883354	Science	2015	Lunar formation. Dating the Moon-forming impact event with asteroidal meteorites.	Hawai'i Institute of Geophysics and Planetology; University of Hawai'i at Manoa; Honolulu; Hawai'i 96822; USA.
J R Weirich	6	Journal Article	25883354	Science	2015	Lunar formation. Dating the Moon-forming impact event with asteroidal meteorites.	Department of Earth Sciences; Western University; London; ON; Canada.
H Levison	Corresponding	Journal Article	25883354	Science	2015	Lunar formation. Dating the Moon-forming impact event with asteroidal meteorites.	Southwest Research Institute and NASA Solar System Exploration Research Virtual Institute (SSERVI)-Institute for the Science of Exploration Targets (ISET); Boulder; CO; USA.
Daniel Barth-Jones	First	Comment	25859037	Science	2015	Assessing data intrusion threats.	Department of Epidemiology; Mailman School of Public Health; Columbia University; New York; NY 10032; USA. db2431@Columbia.edu.
Khaled El Emam	2	Comment	25859037	Science	2015	Assessing data intrusion threats.	College of Law; University of Arizona; Tucson; AZ 85721; USA.
Jane Bambauer	3	Comment	25859037	Science	2015	Assessing data intrusion threats.	Privacy and Big Data Institute; Ryerson University; Toronto; ON; M5B 2K3; Canada.
Ann Cavoukian	4	Comment	25859037	Science	2015	Assessing data intrusion threats.	Children's Hospital of Eastern Ontario Research Institute and University of Ottawa; Ottowa; ON; K1H 8L1; Canada.
Bradley Malin	Corresponding	Comment	25859037	Science	2015	Assessing data intrusion threats.	Department of Biomedical Informatics; Vanderbilt University; Nashville; TN 37212; USA.
Patrick L Kelly	First	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Department of Astronomy; University of California; Berkeley; CA 94720-3411; USA. pkelly@astro.berkeley.edu.
Steven A Rodney	2	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Department of Physics and Astronomy; The Johns Hopkins University; Baltimore; MD 21218; USA.
Tommaso Treu	3	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Department of Physics and Astronomy; University of California; Los Angeles; CA 90095; USA.
Ryan J Foley	4	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	University of Illinois at Urbana-Champaign; 1002 West Green Street; Urbana; IL 61801; USA. Department of Physics; University of Illinois at Urbana-Champaign; 1110 West Green Street; Urbana; IL 61801; USA.
Gabriel Brammer	5	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Space Telescope Science Institute; 3700 San Martin Drive; Baltimore; MD 21218; USA.
Kasper B Schmidt	6	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Space Telescope Science Institute; 3700 San Martin Drive; Baltimore; MD 21218; USA.
Adi Zitrin	7	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Space Telescope Science Institute; 3700 San Martin Drive; Baltimore; MD 21218; USA.
Alessandro Sonnenfeld	8	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Department of Physics and Astronomy; University of California; Los Angeles; CA 90095; USA.
Louis-Gregory Strolger	9	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Space Telescope Science Institute; 3700 San Martin Drive; Baltimore; MD 21218; USA. Western Kentucky University; 1906 College Heights Boulevard; Bowling Green; KY 42101; USA.
Or Graur	10	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Center for Cosmological and Particle Physics; New York University; 4 Washington Place; New York; NY 10003; USA. Department of Astrophysics; American Museum of Natural History; Central Park West and 79th Street; New York; NY 10024; USA.
Alexei V Filippenko	11	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Department of Astronomy; University of California; Berkeley; CA 94720-3411; USA.
Saurabh W Jha	12	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Department of Physics and Astronomy; Rutgers; the State University of New Jersey; Piscataway; NJ 08854; USA.
Adam G Riess	13	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Department of Physics and Astronomy; The Johns Hopkins University; Baltimore; MD 21218; USA. Space Telescope Science Institute; 3700 San Martin Drive; Baltimore; MD 21218; USA.
Marusa Bradac	14	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Department of Physics; University of California; Davis; CA 95616; USA.
Benjamin J Weiner	15	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Steward Observatory; University of Arizona; Tucson; AZ 85721; USA.
Daniel Scolnic	16	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Department of Physics; University of Chicago; 5720 South Ellis Avenue; Chicago; IL 60637; USA. Kavli Institute for Cosmological Physics; University of Chicago; 5720 South Ellis Avenue; Chicago; IL 60637; USA.
Matthew A Malkan	17	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Department of Physics and Astronomy; University of California; Los Angeles; CA 90095; USA.
Anja von der Linden	18	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Dark Cosmology Centre; Niels Bohr Institute; University of Copenhagen; Juliane Maries Vej 30; 2100 Copenhagen; Demark. Kavli Institute for Particle Astrophysics and Cosmology; Stanford University; 452 Lomita Mall; Stanford; CA 94305; USA.
Michele Trenti	19	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	School of Physics; University of Melbourne; VIC 3010; Australia.
Jens Hjorth	20	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Dark Cosmology Centre; Niels Bohr Institute; University of Copenhagen; Juliane Maries Vej 30; 2100 Copenhagen; Demark.
Raphael Gavazzi	21	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Institut d'Astrophysique de Paris; 98 bis Boulevard Arago; F-75014 Paris; France.
Adriano Fontana	22	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	INAF-OAR; Via Frascati 33; 00040 Monte Porzio; Rome; Italy.
Julian C Merten	23	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	INAF-OAR; Via Frascati 33; 00040 Monte Porzio; Rome; Italy.
Curtis McCully	24	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Las Cumbres Observatory Global Telescope Network; 6740 Cortona Drive Suite 102; Goleta; CA 93117; USA.
Tucker Jones	25	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Las Cumbres Observatory Global Telescope Network; 6740 Cortona Drive Suite 102; Goleta; CA 93117; USA.
Marc Postman	26	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Space Telescope Science Institute; 3700 San Martin Drive; Baltimore; MD 21218; USA.
Alan Dressler	27	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Carnegie Observatories; 813 Santa Barbara Street; Pasadena; CA 91101; USA.
Brandon Patel	28	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Department of Physics and Astronomy; Rutgers; the State University of New Jersey; Piscataway; NJ 08854; USA.
S Bradley Cenko	29	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Astrophysics Science Division; NASA Goddard Space Flight Center; MC 661; Greenbelt; MD 20771; USA. Joint Space-Science Institute; University of Maryland; College Park; MD 20742; USA.
Melissa L Graham	30	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Department of Astronomy; University of California; Berkeley; CA 94720-3411; USA.
Bradley E Tucker	Corresponding	Journal Article	25745167	Science	2015	Astrophysics. Multiple images of a highly magnified supernova formed by an early-type cluster galaxy lens.	Department of Astronomy; University of California; Berkeley; CA 94720-3411; USA. The Research School of Astronomy and Astrophysics; Australian National University; Mount Stromlo Observatory; via Cotter Road; Weston Creek; Australian Capital Territory 2611; Australia.
David T Wang	First	Journal Article	25745067	Science	2015	Methane cycling. Nonequilibrium clumped isotope signals in microbial methane.	Department of Earth; Atmospheric and Planetary Sciences; Massachusetts Institute of Technology; Cambridge; MA 02139; USA. Marine Chemistry and Geochemistry Department; Woods Hole Oceanographic Institution; Woods Hole; MA 02543; USA.
Danielle S Gruen	2	Journal Article	25745067	Science	2015	Methane cycling. Nonequilibrium clumped isotope signals in microbial methane.	Department of Earth; Atmospheric and Planetary Sciences; Massachusetts Institute of Technology; Cambridge; MA 02139; USA. Marine Chemistry and Geochemistry Department; Woods Hole Oceanographic Institution; Woods Hole; MA 02543; USA.
Barbara Sherwood Lollar	3	Journal Article	25745067	Science	2015	Methane cycling. Nonequilibrium clumped isotope signals in microbial methane.	Department of Earth Sciences; University of Toronto; Toronto; Ontario M5S 3B1; Canada.
Kai-Uwe Hinrichs	4	Journal Article	25745067	Science	2015	Methane cycling. Nonequilibrium clumped isotope signals in microbial methane.	MARUM Center for Marine Environmental Sciences and Department of Geosciences; University of Bremen; Bremen D-28359; Germany.
Lucy C Stewart	5	Journal Article	25745067	Science	2015	Methane cycling. Nonequilibrium clumped isotope signals in microbial methane.	Department of Microbiology; University of Massachusetts; Amherst; MA 01003; USA.
James F Holden	6	Journal Article	25745067	Science	2015	Methane cycling. Nonequilibrium clumped isotope signals in microbial methane.	Department of Microbiology; University of Massachusetts; Amherst; MA 01003; USA.
Alexander N Hristov	7	Journal Article	25745067	Science	2015	Methane cycling. Nonequilibrium clumped isotope signals in microbial methane.	Department of Animal Science; Pennsylvania State University; University Park; PA 16802; USA.
John W Pohlman	8	Journal Article	25745067	Science	2015	Methane cycling. Nonequilibrium clumped isotope signals in microbial methane.	U.S. Geological Survey (USGS); Woods Hole Coastal and Marine Science Center; Woods Hole; MA 02543; USA.
