Name,Author Type,Article Type,Journal,Year,Article title,Author affiliation
Ken Yasukawa,16,Journal Article,Science,2014,Plant science. Biosynthesis, regulation, and domestication of bitterness in cucumber.,School of Pharmacy; Nihon University; Tokyo 101-8308; Japan.
Harro J Bouwmeester,17,Journal Article,Science,2014,Plant science. Biosynthesis, regulation, and domestication of bitterness in cucumber.,Laboratory of Plant Physiology; Wageningen University; Wageningen 6700; Netherlands.
Xiaoquan Qi,18,Journal Article,Science,2014,Plant science. Biosynthesis, regulation, and domestication of bitterness in cucumber.,Institute of Botany; Chinese Academy of Sciences; Beijing 100093; China.
Zhonghua Zhang,19,Journal Article,Science,2014,Plant science. Biosynthesis, regulation, and domestication of bitterness in cucumber.,Institute of Vegetables and Flowers; Chinese Academy of Agricultural Sciences; Key Laboratory of Biology and Genetic Improvement of Horticultural Crops of the Ministry of Agriculture; Sino-Dutch Joint Laboratory of Horticultural Genomics; Beijing 100081; China.
William J Lucas,20,Journal Article,Science,2014,Plant science. Biosynthesis, regulation, and domestication of bitterness in cucumber.,Department of Plant Biology; College of Biological Sciences; University of California; Davis; CA 95616; USA.
Sanwen Huang,Corresponding,Journal Article,Science,2014,Plant science. Biosynthesis, regulation, and domestication of bitterness in cucumber.,Institute of Vegetables and Flowers; Chinese Academy of Agricultural Sciences; Key Laboratory of Biology and Genetic Improvement of Horticultural Crops of the Ministry of Agriculture; Sino-Dutch Joint Laboratory of Horticultural Genomics; Beijing 100081; China. Agricultural Genomic Institute at Shenzhen; Chinese Academy of Agricultural Sciences; Shenzhen 518124; China. huangsanwen@caas.cn.
L ThÃ¶ny-Meyer,First,Journal Article,Cell,1989,An unusual gene cluster for the cytochrome bc1 complex in Bradyrhizobium japonicum and its requirement for effective root nodule symbiosis.,Mikrobiologisches Institut; EidgenÃ¶ssische Technische Hochschule; ZÃ¼rich; Switzerland.
D Stax,2,Journal Article,Cell,1989,An unusual gene cluster for the cytochrome bc1 complex in Bradyrhizobium japonicum and its requirement for effective root nodule symbiosis.,
H Hennecke,Corresponding,Journal Article,Cell,1989,An unusual gene cluster for the cytochrome bc1 complex in Bradyrhizobium japonicum and its requirement for effective root nodule symbiosis.,
Vasuki-Ranjani Chellamuthu,First,Journal Article,Cell,2014,A widespread glutamine-sensing mechanism in the plant kingdom.,Interfaculty Institute for Microbiology and Infection Medicine; University of TÃ¼bingen; Auf der Morgenstelle 28; 72076 TÃ¼bingen; Germany; Department of Protein Evolution; Max Planck Institute for Developmental Biology; Spemannstrasse 35; 72076 TÃ¼bingen; Germany.
Elena Ermilova,2,Journal Article,Cell,2014,A widespread glutamine-sensing mechanism in the plant kingdom.,Lab Adaptation in Microorganisms; Biological Faculty; Saint-Petersburg State University; Universitetskaya em. 7/9; 199034 Saint-Petersburg; Russia.
Tatjana Lapina,3,Journal Article,Cell,2014,A widespread glutamine-sensing mechanism in the plant kingdom.,Lab Adaptation in Microorganisms; Biological Faculty; Saint-Petersburg State University; Universitetskaya em. 7/9; 199034 Saint-Petersburg; Russia.
Jan LÃ¼ddecke,4,Journal Article,Cell,2014,A widespread glutamine-sensing mechanism in the plant kingdom.,Interfaculty Institute for Microbiology and Infection Medicine; University of TÃ¼bingen; Auf der Morgenstelle 28; 72076 TÃ¼bingen; Germany.
Ekaterina Minaeva,5,Journal Article,Cell,2014,A widespread glutamine-sensing mechanism in the plant kingdom.,Lab Adaptation in Microorganisms; Biological Faculty; Saint-Petersburg State University; Universitetskaya em. 7/9; 199034 Saint-Petersburg; Russia.
Christina Herrmann,6,Journal Article,Cell,2014,A widespread glutamine-sensing mechanism in the plant kingdom.,Interfaculty Institute for Microbiology and Infection Medicine; University of TÃ¼bingen; Auf der Morgenstelle 28; 72076 TÃ¼bingen; Germany.
Marcus D Hartmann,7,Journal Article,Cell,2014,A widespread glutamine-sensing mechanism in the plant kingdom.,Department of Protein Evolution; Max Planck Institute for Developmental Biology; Spemannstrasse 35; 72076 TÃ¼bingen; Germany.
Karl Forchhammer,Corresponding,Journal Article,Cell,2014,A widespread glutamine-sensing mechanism in the plant kingdom.,Interfaculty Institute for Microbiology and Infection Medicine; University of TÃ¼bingen; Auf der Morgenstelle 28; 72076 TÃ¼bingen; Germany. Electronic address: karl.forchhammer@uni-tuebingen.de.
Timothy R Fallon,First,Journal Article,Cell,2014,A molecular gauge for nitrogen economy in plants.,Whitehead Institute for Biomedical Research; Nine Cambridge Center; Cambridge; MA 02142; USA; Department of Biology; Massachusetts Institute of Technology; Cambridge; MA 02139; USA.
Jing-Ke Weng,Corresponding,Journal Article,Cell,2014,A molecular gauge for nitrogen economy in plants.,Whitehead Institute for Biomedical Research; Nine Cambridge Center; Cambridge; MA 02142; USA; Department of Biology; Massachusetts Institute of Technology; Cambridge; MA 02139; USA. Electronic address: wengj@wi.mit.edu.
Josh M Gray,First,Journal Article,Nature,2014,Direct human influence on atmospheric CO2 seasonality from increased cropland productivity.,Department of Earth and Environment; Boston University; Boston; Massachussetts 02215; USA.
Steve Frolking,2,Journal Article,Nature,2014,Direct human influence on atmospheric CO2 seasonality from increased cropland productivity.,Earth Systems Research Center; University of New Hampshire; Durham; New Hampshire 03824; USA.
Eric A Kort,3,Journal Article,Nature,2014,Direct human influence on atmospheric CO2 seasonality from increased cropland productivity.,Department of Atmospheric; Oceanic and Space Sciences; University of Michigan; Ann Arbor; Michigan 48109; USA.
Deepak K Ray,4,Journal Article,Nature,2014,Direct human influence on atmospheric CO2 seasonality from increased cropland productivity.,Institute on the Environment; University of Minnesota; Saint Paul; Minnesota 55108; USA.
Christopher J Kucharik,5,Journal Article,Nature,2014,Direct human influence on atmospheric CO2 seasonality from increased cropland productivity.,Department of Agronomy and Nelson Institute Center for Sustainability and the Global Environment; University of Wisconsin-Madison; Madison; Wisconsin 53706; USA.
Navin Ramankutty,6,Journal Article,Nature,2014,Direct human influence on atmospheric CO2 seasonality from increased cropland productivity.,Department of Geography; McGill University; Montreal; Quebec H3A 0B9; Canada.
Mark A Friedl,Corresponding,Journal Article,Nature,2014,Direct human influence on atmospheric CO2 seasonality from increased cropland productivity.,Department of Earth and Environment; Boston University; Boston; Massachussetts 02215; USA.
Xu Chen,First,Journal Article,Nature,2014,Inhibition of cell expansion by rapid ABP1-mediated auxin effect on microtubules.,1] Institute of Science and Technology Austria (IST Austria); Am Campus 1; 3400 Klosterneuburg; Austria [2] Department of Plant Systems Biology; Vlaams Instituut voor Biotechnologie (VIB); Ghent University; B-9052 Gent; Belgium [3] Department of Plant Biotechnology and Genetics; Ghent University; B-9052 Gent; Belgium.
Laurie Grandont,2,Journal Article,Nature,2014,Inhibition of cell expansion by rapid ABP1-mediated auxin effect on microtubules.,Institut des Sciences du VÃ©gÃ©tal; UPR2355 CNRS; Saclay Plant Sciences LabEx; 1 Avenue de la Terrasse; 91198 Gif sur Yvette; Cedex; France.
Hongjiang Li,3,Journal Article,Nature,2014,Inhibition of cell expansion by rapid ABP1-mediated auxin effect on microtubules.,1] Institute of Science and Technology Austria (IST Austria); Am Campus 1; 3400 Klosterneuburg; Austria [2] Department of Plant Systems Biology; Vlaams Instituut voor Biotechnologie (VIB); Ghent University; B-9052 Gent; Belgium [3] Department of Plant Biotechnology and Genetics; Ghent University; B-9052 Gent; Belgium.
Robert Hauschild,4,Journal Article,Nature,2014,Inhibition of cell expansion by rapid ABP1-mediated auxin effect on microtubules.,Institute of Science and Technology Austria (IST Austria); Am Campus 1; 3400 Klosterneuburg; Austria.
SÃ©bastien Paque,5,Journal Article,Nature,2014,Inhibition of cell expansion by rapid ABP1-mediated auxin effect on microtubules.,Institut des Sciences du VÃ©gÃ©tal; UPR2355 CNRS; Saclay Plant Sciences LabEx; 1 Avenue de la Terrasse; 91198 Gif sur Yvette; Cedex; France.
Anas Abuzeineh,6,Journal Article,Nature,2014,Inhibition of cell expansion by rapid ABP1-mediated auxin effect on microtubules.,1] Department of Plant Systems Biology; Vlaams Instituut voor Biotechnologie (VIB); Ghent University; B-9052 Gent; Belgium [2] Department of Plant Biotechnology and Genetics; Ghent University; B-9052 Gent; Belgium.
Hana RakusovÃ¡,7,Journal Article,Nature,2014,Inhibition of cell expansion by rapid ABP1-mediated auxin effect on microtubules.,1] Institute of Science and Technology Austria (IST Austria); Am Campus 1; 3400 Klosterneuburg; Austria [2] Department of Plant Systems Biology; Vlaams Instituut voor Biotechnologie (VIB); Ghent University; B-9052 Gent; Belgium [3] Department of Plant Biotechnology and Genetics; Ghent University; B-9052 Gent; Belgium.
Eva Benkova,8,Journal Article,Nature,2014,Inhibition of cell expansion by rapid ABP1-mediated auxin effect on microtubules.,1] Institute of Science and Technology Austria (IST Austria); Am Campus 1; 3400 Klosterneuburg; Austria [2] Department of Plant Systems Biology; Vlaams Instituut voor Biotechnologie (VIB); Ghent University; B-9052 Gent; Belgium [3] Department of Plant Biotechnology and Genetics; Ghent University; B-9052 Gent; Belgium.
Catherine Perrot-Rechenmann,9,Journal Article,Nature,2014,Inhibition of cell expansion by rapid ABP1-mediated auxin effect on microtubules.,Institut des Sciences du VÃ©gÃ©tal; UPR2355 CNRS; Saclay Plant Sciences LabEx; 1 Avenue de la Terrasse; 91198 Gif sur Yvette; Cedex; France.
JiÅÃ­ Friml,Corresponding,Journal Article,Nature,2014,Inhibition of cell expansion by rapid ABP1-mediated auxin effect on microtubules.,1] Institute of Science and Technology Austria (IST Austria); Am Campus 1; 3400 Klosterneuburg; Austria [2] Department of Plant Systems Biology; Vlaams Instituut voor Biotechnologie (VIB); Ghent University; B-9052 Gent; Belgium [3] Department of Plant Biotechnology and Genetics; Ghent University; B-9052 Gent; Belgium.
Robert Zeigler,Corresponding,Journal Article,Nature,2014,Perspective: Time to unleash rice.,
Emily Sohn,Corresponding,Journal Article,Nature,2014,Contamination: The toxic side of rice.,
Felix Cheung,Corresponding,Journal Article,Nature,2014,Yield: The search for the rice of the future.,
Ewen Callaway,Corresponding,Journal Article,Nature,2014,Domestication: The birth of rice.,
Leigh Dayton,Corresponding,Journal Article,Nature,2014,Agribiotechnology: Blue-sky rice.,
Emily Elert,Corresponding,Journal Article,Nature,2014,Rice by the numbers: A good grain.,
Chris Woolston,Corresponding,Introductory Journal Article,Nature,2014,Rice.,
Yun Zhou,First,Journal Article,Nature,2015,Control of plant stem cell function by conserved interacting transcriptional regulators.,Division of Biology; California Institute of Technology; 1200 East California Boulevard; Pasadena; California 91125; USA.
Xing Liu,2,Journal Article,Nature,2015,Control of plant stem cell function by conserved interacting transcriptional regulators.,Division of Biology; California Institute of Technology; 1200 East California Boulevard; Pasadena; California 91125; USA.
Eric M Engstrom,3,Journal Article,Nature,2015,Control of plant stem cell function by conserved interacting transcriptional regulators.,Biology Department; College of William and Mary; Williamsburg; Virginia 23187-8795; USA.
Zachary L Nimchuk,4,Journal Article,Nature,2015,Control of plant stem cell function by conserved interacting transcriptional regulators.,1] Division of Biology; California Institute of Technology; 1200 East California Boulevard; Pasadena; California 91125; USA [2] Howard Hughes Medical Institute; California Institute of Technology; 1200 East California Boulevard; Pasadena; California 91125; USA.
Jose L Pruneda-Paz,5,Journal Article,Nature,2015,Control of plant stem cell function by conserved interacting transcriptional regulators.,Section of Cell and Developmental Biology; Division of Biological Sciences; University of California San Diego; La Jolla; California 92093; USA.
Paul T Tarr,6,Journal Article,Nature,2015,Control of plant stem cell function by conserved interacting transcriptional regulators.,Division of Biology; California Institute of Technology; 1200 East California Boulevard; Pasadena; California 91125; USA.
An Yan,7,Journal Article,Nature,2015,Control of plant stem cell function by conserved interacting transcriptional regulators.,Division of Biology; California Institute of Technology; 1200 East California Boulevard; Pasadena; California 91125; USA.
Steve A Kay,8,Journal Article,Nature,2015,Control of plant stem cell function by conserved interacting transcriptional regulators.,University of Southern California; Molecular and Computational Biology; Department of Biological Sciences; Dana and David Dornsife College of Letters; Arts and Sciences; Los Angeles; California 90089; USA.
Elliot M Meyerowitz,Corresponding,Journal Article,Nature,2015,Control of plant stem cell function by conserved interacting transcriptional regulators.,1] Division of Biology; California Institute of Technology; 1200 East California Boulevard; Pasadena; California 91125; USA [2] Howard Hughes Medical Institute; California Institute of Technology; 1200 East California Boulevard; Pasadena; California 91125; USA.
MarÃ­a C MartÃ­,First,Journal Article,Nature,2014,Plant science: leaf veins share the time of day.,Department of Plant Sciences; University of Cambridge; Cambridge CB2 3EA; UK.
Alex A R Webb,Corresponding,Journal Article,Nature,2014,Plant science: leaf veins share the time of day.,Department of Plant Sciences; University of Cambridge; Cambridge CB2 3EA; UK.
Motomu Endo,First,Journal Article,Nature,2014,Tissue-specific clocks in Arabidopsis show asymmetric coupling.,1] Division of Integrated Life Science; Graduate School of Biostudies; Kyoto University; Sakyo; Kyoto 606-8501; Japan [2] Japan Science and Technology Agency; PRESTO; 4-1-8 Honcho Kawaguchi; Saitama 332-0012; Japan.
Hanako Shimizu,2,Journal Article,Nature,2014,Tissue-specific clocks in Arabidopsis show asymmetric coupling.,Division of Integrated Life Science; Graduate School of Biostudies; Kyoto University; Sakyo; Kyoto 606-8501; Japan.
Maria A Nohales,3,Journal Article,Nature,2014,Tissue-specific clocks in Arabidopsis show asymmetric coupling.,University of Southern California Molecular and Computational Biology; Department of Biology; Dana and David Dornsife College of Letters; Arts and Sciences; Los Angeles; California 90089; USA.
Takashi Araki,4,Journal Article,Nature,2014,Tissue-specific clocks in Arabidopsis show asymmetric coupling.,Division of Integrated Life Science; Graduate School of Biostudies; Kyoto University; Sakyo; Kyoto 606-8501; Japan.
Steve A Kay,Corresponding,Journal Article,Nature,2014,Tissue-specific clocks in Arabidopsis show asymmetric coupling.,University of Southern California Molecular and Computational Biology; Department of Biology; Dana and David Dornsife College of Letters; Arts and Sciences; Los Angeles; California 90089; USA.
N V Fedoroff,Corresponding,Review,Cell,1989,About maize transposable elements and development.,Carnegie Institution of Washington; Department of Embryology; Baltimore; Maryland 21210.
M A Grandbastien,First,Journal Article,Nature,1989,Tnt1, a mobile retroviral-like transposable element of tobacco isolated by plant cell genetics.,Laboratoire de Biologie Cellulaire; I.N.R.A.; Versailles; France.
A Spielmann,2,Journal Article,Nature,1989,Tnt1, a mobile retroviral-like transposable element of tobacco isolated by plant cell genetics.,
M Caboche,Corresponding,Journal Article,Nature,1989,Tnt1, a mobile retroviral-like transposable element of tobacco isolated by plant cell genetics.,
Sean Maxwell,Corresponding,Comment,Nature,2014,Sustainability: root targets in consensus.,University of Queensland; Brisbane; Australia.
Ryo Tabata,First,Journal Article,Science,2014,Perception of root-derived peptides by shoot LRR-RKs mediates systemic N-demand signaling.,Division of Biological Science; Graduate School of Science; Nagoya University; Chikusa; Nagoya 464-8602; Japan.
Kumiko Sumida,2,Journal Article,Science,2014,Perception of root-derived peptides by shoot LRR-RKs mediates systemic N-demand signaling.,Division of Biological Science; Graduate School of Science; Nagoya University; Chikusa; Nagoya 464-8602; Japan.
Tomoaki Yoshii,3,Journal Article,Science,2014,Perception of root-derived peptides by shoot LRR-RKs mediates systemic N-demand signaling.,Department of Applied Molecular Biosciences; Graduate School of Bio-Agricultural Sciences; Nagoya University; Chikusa; Nagoya 464-8601; Japan.
Kentaro Ohyama,4,Journal Article,Science,2014,Perception of root-derived peptides by shoot LRR-RKs mediates systemic N-demand signaling.,Department of Applied Molecular Biosciences; Graduate School of Bio-Agricultural Sciences; Nagoya University; Chikusa; Nagoya 464-8601; Japan.
Hidefumi Shinohara,5,Journal Article,Science,2014,Perception of root-derived peptides by shoot LRR-RKs mediates systemic N-demand signaling.,Division of Biological Science; Graduate School of Science; Nagoya University; Chikusa; Nagoya 464-8602; Japan.
Yoshikatsu Matsubayashi,Corresponding,Journal Article,Science,2014,Perception of root-derived peptides by shoot LRR-RKs mediates systemic N-demand signaling.,Division of Biological Science; Graduate School of Science; Nagoya University; Chikusa; Nagoya 464-8602; Japan. matsu@bio.nagoya-u.ac.jp.
Ton Bisseling,First,Journal Article,Science,2014,Plant Science. Nutrient computation for root architecture.,Department of Plant Sciences; Laboratory of Molecular Biology; Wageningen University; Droevendaalsesteeg 1; 6708 PB Wageningen; Netherlands. College of Science; King Saud University; Post Office Box 2455; Riyadh 11451; Saudi Arabia. ton.bisseling@wur.nl.
Ben Scheres,Corresponding,Journal Article,Science,2014,Plant Science. Nutrient computation for root architecture.,Plant Developmental Biology; Wageningen University; Droevendaalsesteeg 1; 6708 PB Wageningen; Netherlands.
Debra Zuppinger-Dingley,First,Journal Article,Nature,2014,Selection for niche differentiation in plant communities increases biodiversity effects.,Institute of Evolutionary Biology and Environmental Studies &Zurich-Basel Plant Science Center; University of Zurich; Winterthurerstrasse 190; CH-8057 Zurich; Switzerland.
Bernhard Schmid,2,Journal Article,Nature,2014,Selection for niche differentiation in plant communities increases biodiversity effects.,Institute of Evolutionary Biology and Environmental Studies &Zurich-Basel Plant Science Center; University of Zurich; Winterthurerstrasse 190; CH-8057 Zurich; Switzerland.
Jana S Petermann,3,Journal Article,Nature,2014,Selection for niche differentiation in plant communities increases biodiversity effects.,1] Institute of Biology; Freie UniversitÃ¤t Berlin; KÃ¶nigin-Luise-Str. 1-3; 14195 Berlin; Germany [2] Berlin-Brandenburg Institute of Advanced Biodiversity Research (BBIB); 14195 Berlin; Germany.
Varuna Yadav,4,Journal Article,Nature,2014,Selection for niche differentiation in plant communities increases biodiversity effects.,Institute of Evolutionary Biology and Environmental Studies &Zurich-Basel Plant Science Center; University of Zurich; Winterthurerstrasse 190; CH-8057 Zurich; Switzerland.
Gerlinde B De Deyn,5,Journal Article,Nature,2014,Selection for niche differentiation in plant communities increases biodiversity effects.,Environmental Sciences; University of Wageningen; Droevendaalsesteeg 4; 6708PB Wageningen; the Netherlands.
Dan F B Flynn,Corresponding,Journal Article,Nature,2014,Selection for niche differentiation in plant communities increases biodiversity effects.,1] Institute of Evolutionary Biology and Environmental Studies &Zurich-Basel Plant Science Center; University of Zurich; Winterthurerstrasse 190; CH-8057 Zurich; Switzerland [2] Arnold Arboretum; Harvard University; Boston; Massachusetts 02131; USA.
June I Medford,First,Journal Article,Science,2014,Plant Science. Plant synthetic biology takes root.,Department of Biology; Colorado State University; Fort Collins; CO 80523; USA. june.medford@colostate.edu.
Ashok Prasad,Corresponding,Journal Article,Science,2014,Plant Science. Plant synthetic biology takes root.,Department of Chemical and Biological Engineering; Colorado State University; Fort Collins; CO 80523; USA.
F Katagiri,First,Journal Article,Nature,1989,Two tobacco DNA-binding proteins with homology to the nuclear factor CREB.,Laboratory of Plant Molecular Biology; Rockefeller University; New York 10021.
E Lam,2,Journal Article,Nature,1989,Two tobacco DNA-binding proteins with homology to the nuclear factor CREB.,
N H Chua,Corresponding,Journal Article,Nature,1989,Two tobacco DNA-binding proteins with homology to the nuclear factor CREB.,
Pedro CrevillÃ©n,First,Journal Article,Nature,2014,Epigenetic reprogramming that prevents transgenerational inheritance of the vernalized state.,1] Department of Cell &Developmental Biology; John Innes Centre; Norwich Research Park; Norwich NR4 7UH; UK [2].
Hongchun Yang,2,Journal Article,Nature,2014,Epigenetic reprogramming that prevents transgenerational inheritance of the vernalized state.,Department of Cell &Developmental Biology; John Innes Centre; Norwich Research Park; Norwich NR4 7UH; UK.
Xia Cui,3,Journal Article,Nature,2014,Epigenetic reprogramming that prevents transgenerational inheritance of the vernalized state.,State Key Laboratory of Plant Genomics and National Center for Plant Gene Research; Institute of Genetics and Developmental Biology; Chinese Academy of Sciences. Beijing 100101; China.
Christiaan Greeff,4,Journal Article,Nature,2014,Epigenetic reprogramming that prevents transgenerational inheritance of the vernalized state.,1] Department of Cell &Developmental Biology; John Innes Centre; Norwich Research Park; Norwich NR4 7UH; UK [2].
Martin Trick,5,Journal Article,Nature,2014,Epigenetic reprogramming that prevents transgenerational inheritance of the vernalized state.,Department of Cell &Developmental Biology; John Innes Centre; Norwich Research Park; Norwich NR4 7UH; UK.
Qi Qiu,6,Journal Article,Nature,2014,Epigenetic reprogramming that prevents transgenerational inheritance of the vernalized state.,State Key Laboratory of Plant Genomics and National Center for Plant Gene Research; Institute of Genetics and Developmental Biology; Chinese Academy of Sciences. Beijing 100101; China.
Xiaofeng Cao,7,Journal Article,Nature,2014,Epigenetic reprogramming that prevents transgenerational inheritance of the vernalized state.,State Key Laboratory of Plant Genomics and National Center for Plant Gene Research; Institute of Genetics and Developmental Biology; Chinese Academy of Sciences. Beijing 100101; China.
Caroline Dean,Corresponding,Journal Article,Nature,2014,Epigenetic reprogramming that prevents transgenerational inheritance of the vernalized state.,Department of Cell &Developmental Biology; John Innes Centre; Norwich Research Park; Norwich NR4 7UH; UK.
Matthew T Weirauch,First,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Center for Autoimmune Genomics and Etiology (CAGE) and Divisions of Biomedical Informatics and Developmental Biology; CincinnatiÂ Children's Hospital Medical Center; Cincinnati; OH 45229; USA; Banting and Best Department of Medical Research and Donnelly Centre; University of Toronto; Toronto ON M5S 3E1; Canada.
Ally Yang,2,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Banting and Best Department of Medical Research and Donnelly Centre; University of Toronto; Toronto ON M5S 3E1; Canada.
Mihai Albu,3,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Banting and Best Department of Medical Research and Donnelly Centre; University of Toronto; Toronto ON M5S 3E1; Canada.
Atina G Cote,4,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Banting and Best Department of Medical Research and Donnelly Centre; University of Toronto; Toronto ON M5S 3E1; Canada.
Alejandro Montenegro-Montero,5,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Departamento de GenÃ©tica Molecular y MicrobiologÃ­a; Facultad de Ciencias BiolÃ³gicas; Pontificia Universidad CatÃ³lica de Chile; SantiagoÂ 8331150; Chile.
Philipp Drewe,6,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Computational Biology Center; Sloan-Kettering Institute; New York; NY 10065; USA.
Hamed S Najafabadi,7,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Banting and Best Department of Medical Research and Donnelly Centre; University of Toronto; Toronto ON M5S 3E1; Canada.
Samuel A Lambert,8,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Department of Molecular Genetics; University of Toronto; Toronto ON M5S 1A8; Canada.
Ishminder Mann,9,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Banting and Best Department of Medical Research and Donnelly Centre; University of Toronto; Toronto ON M5S 3E1; Canada.
Kate Cook,10,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Department of Molecular Genetics; University of Toronto; Toronto ON M5S 1A8; Canada.
Hong Zheng,11,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Banting and Best Department of Medical Research and Donnelly Centre; University of Toronto; Toronto ON M5S 3E1; Canada.
Alejandra Goity,12,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Departamento de GenÃ©tica Molecular y MicrobiologÃ­a; Facultad de Ciencias BiolÃ³gicas; Pontificia Universidad CatÃ³lica de Chile; SantiagoÂ 8331150; Chile.
Harm van Bakel,13,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Banting and Best Department of Medical Research and Donnelly Centre; University of Toronto; Toronto ON M5S 3E1; Canada; Icahn Institute for Genomics and Multiscale Biology; Department of Genetics and Genomic Sciences; Icahn School of Medicine at Mount Sinai; New York City; NY 10029; USA.
Jean-Claude Lozano,14,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Sorbonne UniversitÃ©s; UPMC Univ Paris 06; CNRS UMR 7621; CNRS; Laboratoire d'OcÃ©anographie Microbienne; Observatoire OcÃ©anologique; F-66650 Banyuls/mer; France.
Mary Galli,15,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Genomic Analysis Laboratory; The Salk Institute for Biological Studies; La Jolla; CA 92037; USA.
Mathew G Lewsey,16,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Genomic Analysis Laboratory; The Salk Institute for Biological Studies; La Jolla; CA 92037; USA; Plant Biology Laboratory; The Salk Institute for Biological Studies; La Jolla; CA 92037; USA.
Eryong Huang,17,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Department of Molecular and Human Genetics; Baylor College of Medicine; Houston; TX 77030; USA.
Tuhin Mukherjee,18,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Department of Electronic and Computing Systems; University of Cincinnati; Cincinnati; OH 45221; USA.
Xiaoting Chen,19,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Department of Electronic and Computing Systems; University of Cincinnati; Cincinnati; OH 45221; USA.
John S Reece-Hoyes,20,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Program in Systems Biology; University of Massachusetts Medical School; Worcester; MA 01655; USA.
Sridhar Govindarajan,21,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,DNA2.0 Inc.; Menlo Park; CA 94025; USA.
Gad Shaulsky,22,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Department of Molecular and Human Genetics; Baylor College of Medicine; Houston; TX 77030; USA.
Albertha J M Walhout,23,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Program in Systems Biology; University of Massachusetts Medical School; Worcester; MA 01655; USA.
FranÃ§ois-Yves Bouget,24,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Sorbonne UniversitÃ©s; UPMC Univ Paris 06; CNRS UMR 7621; CNRS; Laboratoire d'OcÃ©anographie Microbienne; Observatoire OcÃ©anologique; F-66650 Banyuls/mer; France.
Gunnar Ratsch,25,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Computational Biology Center; Sloan-Kettering Institute; New York; NY 10065; USA.
Luis F Larrondo,26,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Departamento de GenÃ©tica Molecular y MicrobiologÃ­a; Facultad de Ciencias BiolÃ³gicas; Pontificia Universidad CatÃ³lica de Chile; SantiagoÂ 8331150; Chile.
Joseph R Ecker,27,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Genomic Analysis Laboratory; The Salk Institute for Biological Studies; La Jolla; CA 92037; USA; Plant Biology Laboratory; The Salk Institute for Biological Studies; La Jolla; CA 92037; USA; Howard Hughes Medical Institute; The Salk Institute for Biological Studies; La Jolla; CA 92037; USA.
Timothy R Hughes,Corresponding,Journal Article,Cell,2014,Determination and inference of eukaryotic transcription factor sequence specificity.,Banting and Best Department of Medical Research and Donnelly Centre; University of Toronto; Toronto ON M5S 3E1; Canada; Department of Molecular Genetics; University of Toronto; Toronto ON M5S 1A8; Canada. Electronic address: t.hughes@utoronto.ca.
E Mortenson,First,Comment,Nature,1989,RNP in maize protein.,
G Dreyfuss,Corresponding,Comment,Nature,1989,RNP in maize protein.,
Gerardo Del Toro-De LeÃ³n,First,Journal Article,Nature,2014,Non-equivalent contributions of maternal and paternal genomes to early plant embryogenesis.,Laboratorio Nacional de GenÃ³mica para la Biodiversidad (Langebio); Unidad de GenÃ³mica Avanzada; Centro de InvestigaciÃ³n y de Estudios Avanzados del Instituto PolitÃ©cnico Nacional (CINVESTAV-IPN); Irapuato; Guanajuato 36821; MÃ©xico.
